#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
soulium                                           (mysticalagradditions:molten_soulium)                                            = Molten Soulium
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = Molten Base Essence
inferium                                          (mysticalagradditions:molten_inferium)                                           = Molten Inferium
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = Molten Prudentium
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = Molten Intermedium
superium                                          (mysticalagradditions:molten_superium)                                           = Molten Superium
supremium                                         (mysticalagradditions:molten_supremium)                                          = Molten Supremium
molten_reinforced_pink_slime                      ([no block])                                                                     = Molten Reinforced Pink Slime
murky_water                                       (mahoutsukai:murky_water)                                                        = Murky Water
creeper_acid                                      (techguns:block_creeper_acid)                                                    = Creeper Acid
chocolate_liquor                                  (tcomplement:liquid_chocolate_liquor)                                            = Chocolate Liquor
milk_chocolate                                    (tcomplement:liquid_milk_chocolate)                                              = Milk Chocolate
dark_chocolate                                    (tcomplement:liquid_dark_chocolate)                                              = Dark Chocolate
vampirismblood                                    (vampirism:block_blood_fluid)                                                    = Vampirim Blood
impure_vampirismblood                             (vampirism:block_impure_blood_fluid)                                             = Vampirism Impure Blood
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
glass                                             (tconstruct:molten_glass)                                                        = Molten Glass
blood                                             (tconstruct:blood)                                                               = Blood
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = Liquid Starlight
aluminium                                         (jaopca:molten.aluminium)                                                        = Molten Aluminium
amethyst                                          (jaopca:molten.amethyst)                                                         = Molten Amethyst
aquamarine                                        (jaopca:molten.aquamarine)                                                       = Molten Aquamarine
astral_starmetal                                  (jaopca:molten.astral_starmetal)                                                 = Molten Astral Starmetal
blue_diamond                                      (jaopca:molten.blue_diamond)                                                     = Molten Blue Diamond
blue_gem                                          (jaopca:molten.blue_gem)                                                         = Molten Blue Gem
carbon                                            (jaopca:molten.carbon)                                                           = Molten Carbon
cheese                                            (jaopca:molten.cheese)                                                           = Molten Cheese
coralium                                          (jaopca:molten.coralium)                                                         = Molten Coralium
dark                                              (jaopca:molten.dark)                                                             = Molten Dark
dark_iron                                         (jaopca:molten.dark_iron)                                                        = Molten Dark Iron
diamond                                           (jaopca:molten.diamond)                                                          = Molten Diamond
draconium                                         (jaopca:molten.draconium)                                                        = Molten Draconium
garnet                                            (jaopca:molten.garnet)                                                           = Molten Garnet
green_diamond                                     (jaopca:molten.green_diamond)                                                    = Molten Green Diamond
lapis                                             (jaopca:molten.lapis)                                                            = Molten Lapis
lunar_sapphire                                    (jaopca:molten.lunar_sapphire)                                                   = Molten Lunar Sapphire
magnesium                                         (jaopca:molten.magnesium)                                                        = Molten Magnesium
mercury                                           (jaopca:molten.mercury)                                                          = Molten Mercury
meteoric_iron                                     (jaopca:molten.meteoric_iron)                                                    = Molten Meteoric Iron
mithril                                           (jaopca:molten.mithril)                                                          = Molten Mithril
opal                                              (jaopca:molten.opal)                                                             = Molten Opal
osmium                                            (jaopca:molten.osmium)                                                           = Molten Osmium
palladium                                         (jaopca:molten.palladium)                                                        = Molten Palladium
purple_diamond                                    (jaopca:molten.purple_diamond)                                                   = Molten Purple Diamond
quartz                                            (jaopca:molten.quartz)                                                           = Molten Quartz
red_diamond                                       (jaopca:molten.red_diamond)                                                      = Molten Red Diamond
red_gem                                           (jaopca:molten.red_gem)                                                          = Molten Red Gem
silicon                                           (jaopca:molten.silicon)                                                          = Molten Silicon
titanium                                          (jaopca:molten.titanium)                                                         = Molten Titanium
tungsten                                          (jaopca:molten.tungsten)                                                         = Molten Tungsten
uranium                                           (jaopca:molten.uranium)                                                          = Molten Uranium
white_gem                                         (jaopca:molten.white_gem)                                                        = Molten White Gem
yellow_diamond                                    (jaopca:molten.yellow_diamond)                                                   = Molten Yellow Diamond
oilgc                                             ([no block])                                                                     = fluid.oilgc
fuelgc                                            ([no block])                                                                     = fluid.fuelgc
